"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","hab.fact","score","dir"
2.5893e-07,25482.0439,649996.097,586001.7507,4147693.7773,4051702.2579,71064.961,3985.6059,10825.4638,0.9999,94786.606,183357533,32,296960.5,"./run_076982/iter_000049"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,573069772,32,298282.1,"./run_847271/iter_000023"
8.322e-08,7797.3983,490010.2314,554004.5776,4051702.2579,3891716.3923,156237.0214,8643.1372,17149.0826,0.9168,57138.3243,1072476611,32,319096.6,"./run_847271/iter_000100"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123139.9147,109477.3396,13388.1999,0.7197,43292.6738,515581748,32,369375.4,"./run_847271/iter_559763"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109377.3396,13388.1999,0.7197,43292.6738,212701690,32,386195.6,"./run_847271/iter_394599"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7207,43292.6738,1501732409,32,388851,"./run_847271/iter_227537"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43366.1273,1862008648,32,390509.9,"./run_847271/iter_366431"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6715,43273.2948,1471715013,32,390585.8,"./run_847271/iter_327444"
8.3117e-08,5251.6236,553970.7876,586033.8834,3837690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,585008471,32,395357,"./run_847271/iter_766231"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6695,43273.2948,1491161374,32,395601,"./run_847271/iter_571065"
8.3131e-08,5152.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1336629217,32,398615,"./run_847271/iter_019522"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13488.1999,0.7197,43292.6738,1674244238,32,399214.9,"./run_847271/iter_800159"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43166.1273,778212650,32,399868.5,"./run_847271/iter_872207"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7187,43292.6738,1602517221,32,401569.4,"./run_847271/iter_979312"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107116.0383,13247.0009,0.712,43266.1273,779387741,32,403725.6,"./run_847271/iter_554268"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4053060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,878465700,32,404970,"./run_847271/iter_713463"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,604218967,32,406573.7,"./run_847271/iter_557405"
8.3117e-08,5351.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1192621518,32,407076.3,"./run_847271/iter_339221"
8.4517e-08,5484.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,1605486138,32,410197.4,"./run_847271/iter_943513"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,122939.9147,109477.3396,13388.1999,0.7197,43292.6738,960860852,32,413152.2,"./run_847271/iter_536673"
8.2131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1988240706,32,413987.8,"./run_847271/iter_345647"
8.5048e-08,6089.1335,525965.9324,611709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1889071638,32,415363,"./run_847271/iter_464292"
8.3117e-08,5251.6236,553970.7876,587033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,293337467,32,415763.2,"./run_847271/iter_352673"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3965751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1659213779,32,415972,"./run_847271/iter_388068"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121867.8147,7302.3346,13249.1954,0.6705,43273.2948,1980237252,32,416102.9,"./run_847271/iter_081153"
8.4331e-08,5408.7629,547742.9097,593521.9714,3851101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1713300141,32,420412.9,"./run_847271/iter_930006"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107316.0383,13247.0009,0.712,43266.1273,643415557,32,420771.6,"./run_847271/iter_125256"
8.5048e-08,6089.1335,524965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1241515033,32,421039.2,"./run_847271/iter_848479"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112893.105,13595.2411,0.7311,43331.5992,923467437,32,422535.9,"./run_847271/iter_047642"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3970123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1932704575,32,423018.2,"./run_847271/iter_497493"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,14093.6725,0.726,43156.9415,1650824568,32,423808.5,"./run_847271/iter_903647"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3990123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1935739091,32,424655.6,"./run_847271/iter_602969"
